fold_id,pair,cost_bps,threshold_bps,train_start,train_end,test_start,test_end,regime_lookback_bars,regime_persistence_ratio,regime_structural_abs_bps,regime_transient_abs_bps,execution_model,selected_on,frozen_during_test
3,bitget/gate,20,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,34.28272525009359,34.28272525009359,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,bitget/gate,40,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,34.28272525009359,34.28272525009359,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,bitget/gate,80,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,34.28272525009359,34.28272525009359,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,bitget/hyperliquid,20,100,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,32,0.8,85.25456756770879,85.25456756770879,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,bitget/hyperliquid,40,100,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,32,0.8,85.25456756770879,85.25456756770879,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,bitget/hyperliquid,80,100,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,32,0.8,85.25456756770879,85.25456756770879,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,bitget/okx,20,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,49.04012574421449,49.04012574421449,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,bitget/okx,40,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,49.04012574421449,49.04012574421449,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,bitget/okx,80,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,49.04012574421449,49.04012574421449,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,gate/hyperliquid,20,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,57.8073316503137,57.8073316503137,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
