group_type,group_value,threshold_bps,target_bps,horizon_minutes,event_count_total,hit_count,naive_hit_rate,eligible_event_count,completed_event_count,censored_event_count,observed_rate_complete_cases,rate_note
PAIR,binance/gate,20,10,60,126,72,0.5714285714285714,126,126,0,0.5714285714285714,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,10,240,126,102,0.8095238095238095,126,126,0,0.8095238095238095,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,10,1440,126,124,0.9841269841269841,126,126,0,0.9841269841269841,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,0,5,126,11,0.0873015873015873,126,126,0,0.0873015873015873,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,0,15,126,20,0.15873015873015872,126,126,0,0.15873015873015872,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,0,30,126,31,0.24603174603174602,126,126,0,0.24603174603174602,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,0,60,126,50,0.3968253968253968,126,126,0,0.3968253968253968,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,0,240,126,85,0.6746031746031746,126,126,0,0.6746031746031746,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,0,1440,126,124,0.9841269841269841,126,126,0,0.9841269841269841,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,20,5,150,133,0.8866666666666667,150,149,1,0.8866666666666667,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,20,15,150,141,0.94,150,149,1,0.94,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,20,30,150,146,0.9733333333333334,150,149,1,0.9733333333333334,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,20,60,150,147,0.98,150,149,1,0.98,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,20,240,150,149,0.9933333333333333,150,149,1,0.9933333333333333,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,20,1440,150,150,1.0,150,149,1,1.0,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,10,5,150,40,0.26666666666666666,149,149,1,0.2684563758389262,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,10,15,150,65,0.43333333333333335,148,149,1,0.4391891891891892,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,10,30,150,83,0.5533333333333333,147,149,1,0.564625850340136,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,10,60,150,106,0.7066666666666667,147,149,1,0.7210884353741497,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,10,240,150,124,0.8266666666666667,145,149,1,0.8551724137931035,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,10,1440,150,137,0.9133333333333333,137,149,1,1.0,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,0,5,150,6,0.04,149,149,1,0.040268456375838924,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
